reading_id,timestamp,node_id,node_name,temperature_c,humidity_pct,congestion_index,throughput_ratio,vibration_level,wind_speed_kmh,visibility_km,alert_level
SENS-0001020,2026-04-04 13:42:00,IN-HAZ,Hazira Port,26.5,53.0,0.541,0.594,0.586,15.6,5.3,0
SENS-0001021,2026-04-02 10:15:00,IN-PAR,Paradip Port,32.1,63.4,0.539,0.871,0.643,5.3,8.3,1
SENS-0001022,2026-04-03 06:16:00,IN-JNPT,Nhava Sheva (JNPT),27.7,58.9,0.091,0.643,0.106,9.1,8.0,2
SENS-0001023,2026-04-08 03:25:00,IN-JNPT,Nhava Sheva (JNPT),28.2,77.6,0.641,0.933,1.073,7.2,12.2,0
SENS-0001024,2026-04-04 04:44:00,CN-SZX,Shenzhen,26.4,84.0,0.17,0.576,0.462,4.2,8.5,2
SENS-0001025,2026-04-08 10:18:00,IN-PAR,Paradip Port,24.2,90.2,0.229,0.365,0.209,11.6,8.4,0
SENS-0001026,2026-04-02 14:38:00,IN-VIZ,Visakhapatnam Port,25.9,46.3,0.338,0.789,0.242,22.1,8.9,0
SENS-0001027,2026-04-02 08:13:00,IN-HYD,Hyderabad DC,32.2,80.4,0.164,0.614,0.702,19.2,7.2,1
SENS-0001028,2026-04-07 16:38:00,IN-KND,Kandla Port,33.2,61.2,0.506,0.91,0.26,10.5,7.9,0
SENS-0001029,2026-04-10 08:12:00,US-NYC,New York/New Jersey,29.6,56.0,0.371,0.694,0.594,4.1,8.7,0
SENS-0001030,2026-04-01 22:54:00,AE-DXB,Dubai (Jebel Ali),38.4,82.6,0.171,0.619,0.349,12.1,7.7,3
SENS-0001031,2026-04-08 08:40:00,IN-AMD,Ahmedabad DC,28.8,112.2,0.639,0.732,0.562,5.6,3.2,0
SENS-0001032,2026-04-10 03:04:00,IN-CHN,Chennai Port,36.7,87.9,0.279,0.647,0.522,5.4,10.1,0
SENS-0001033,2026-04-07 09:42:00,IN-KOC,Kochi Port,30.3,79.5,0.097,0.893,0.65,1.7,2.4,2
SENS-0001034,2026-04-02 06:00:00,SG-SIN,Singapore,25.4,78.2,0.158,0.59,0.849,9.8,12.9,0
SENS-0001035,2026-04-09 20:28:00,IN-VIZ,Visakhapatnam Port,20.0,74.7,0.614,0.913,0.482,21.6,2.3,0
SENS-0001036,2026-04-09 06:44:00,US-NYC,New York/New Jersey,27.1,75.7,0.169,0.552,0.274,17.8,6.7,1
SENS-0001037,2026-04-09 02:19:00,US-LAX,Los Angeles,16.6,39.8,0.027,0.538,0.085,4.9,9.5,0
SENS-0001038,2026-04-01 20:29:00,CN-SHA,Shanghai,21.1,95.3,0.433,0.761,0.494,18.4,7.2,0
SENS-0001039,2026-04-02 19:28:00,JP-YOK,Yokohama,21.1,73.4,0.088,0.869,0.437,0,9.5,0
SENS-0001040,2026-04-01 01:37:00,IN-HAZ,Hazira Port,38.5,63.2,0.137,0.329,0.72,24.7,9.2,2
SENS-0001041,2026-04-02 00:46:00,NL-RTM,Rotterdam,23.7,74.1,0.103,0.7,0.15,12.9,1.8,0
SENS-0001042,2026-04-06 01:23:00,US-NYC,New York/New Jersey,29.0,72.4,0.38,0.664,0.442,9.3,10.8,0
SENS-0001043,2026-04-04 18:44:00,IN-COK,Kochi Warehouse,25.6,21.1,0.121,0.431,0.272,14.6,4.4,3
SENS-0001044,2026-04-03 06:53:00,IN-PUN,Pune DC (Chakan),32.9,68.1,0.249,0.886,0.632,6.6,11.7,0
SENS-0001045,2026-04-08 17:11:00,IN-DEL,Delhi ICD (Tughlakabad),39.3,76.2,0.533,0.585,0.378,25.8,5.3,2
SENS-0001046,2026-04-03 02:37:00,DE-HAM,Hamburg,37.7,72.6,0.269,0.327,0.394,24.7,9.8,0
SENS-0001047,2026-04-02 19:39:00,JP-YOK,Yokohama,16.6,62.0,0.222,0.447,0.376,13.0,9.0,0
SENS-0001048,2026-04-06 14:58:00,ZA-DUR,Durban,25.8,74.0,0.175,0.744,0.613,36.6,5.5,0
SENS-0001049,2026-04-09 21:13:00,ZA-DUR,Durban,25.4,42.3,0.166,0.891,0.671,7.4,5.4,0
SENS-0001050,2026-04-10 05:17:00,IN-AMD,Ahmedabad DC,26.3,64.8,0.331,0.521,0.671,27.3,10.9,1
SENS-0001051,2026-04-06 03:01:00,IN-KOC,Kochi Port,24.9,66.1,0.361,0.643,0.423,9.6,4.7,2
SENS-0001052,2026-04-08 09:25:00,TH-LCH,Laem Chabang,12.3,82.2,0.116,0.489,0.077,15.8,8.5,0
SENS-0001053,2026-04-06 18:17:00,ZA-DUR,Durban,23.9,46.8,0.435,0.372,0.692,10.6,8.3,0
SENS-0001054,2026-04-10 20:03:00,SG-SIN,Singapore,30.4,35.0,0.13,0.474,0.284,6.1,8.2,0
SENS-0001055,2026-04-03 08:37:00,IN-MUM,Mumbai Warehouse (Bhiwandi),28.0,58.4,0.155,0.596,0.722,19.8,10.1,0
SENS-0001056,2026-04-01 23:54:00,IN-GAU,Guwahati Warehouse,38.5,90.8,0.471,0.79,0.517,15.0,8.7,0
SENS-0001057,2026-04-07 17:26:00,IN-CHN,Chennai Port,22.2,84.2,0.488,0.516,0.6,0,7.6,1
SENS-0001058,2026-04-04 14:51:00,NL-RTM,Rotterdam,26.6,67.7,0.486,0.4,0.527,12.1,10.4,0
SENS-0001059,2026-04-06 03:48:00,TH-LCH,Laem Chabang,31.9,80.0,0.076,0.424,0.627,20.4,6.4,0
SENS-0001060,2026-04-02 18:47:00,IN-HYD,Hyderabad DC,31.1,47.1,0.497,0.697,0.347,15.0,5.8,0
SENS-0001061,2026-04-10 10:21:00,IN-HAZ,Hazira Port,26.3,65.9,0.194,0.646,0.602,20.1,10.0,1
SENS-0001062,2026-04-06 23:11:00,IN-COK,Kochi Warehouse,17.9,81.9,0.597,0.395,0.249,21.1,3.7,3
SENS-0001063,2026-04-06 18:37:00,IN-JNPT,Nhava Sheva (JNPT),32.9,88.0,0.159,0.861,0.48,9.8,11.5,0
SENS-0001064,2026-04-08 03:04:00,CN-SZX,Shenzhen,29.1,53.3,0.445,0.896,0.462,24.1,3.9,0
SENS-0001065,2026-04-01 17:11:00,CN-SHA,Shanghai,14.1,72.5,0.22,0.66,0.696,16.9,4.5,0
SENS-0001066,2026-04-06 09:34:00,KR-BUS,Busan,32.0,51.8,0.116,0.313,0.796,0.5,4.7,0
SENS-0001067,2026-04-05 04:23:00,CN-SZX,Shenzhen,27.1,73.0,0.21,0.876,0.567,18.4,9.4,3
SENS-0001068,2026-04-05 12:26:00,TH-LCH,Laem Chabang,31.6,79.9,0.119,0.621,1.116,7.3,9.8,0
SENS-0001069,2026-04-03 23:00:00,MY-PTG,Port Klang,30.2,66.5,0.564,0.436,0.547,23.2,13.1,0
SENS-0001070,2026-04-08 16:34:00,IN-PUN,Pune DC (Chakan),35.1,24.8,0.316,0.865,0.588,12.9,7.0,2
SENS-0001071,2026-04-04 19:14:00,IN-TUT,Tuticorin Port,24.1,53.3,0.402,0.682,0.679,32.9,11.9,0
SENS-0001072,2026-04-03 05:48:00,TH-LCH,Laem Chabang,23.4,71.4,0.247,0.737,0.536,10.4,15.0,1
SENS-0001073,2026-04-10 22:35:00,IN-JNPT,Nhava Sheva (JNPT),31.2,91.4,0.321,0.535,0.23,24.3,7.9,2
SENS-0001074,2026-04-09 01:05:00,IN-VIZ,Visakhapatnam Port,18.9,81.8,0.238,0.305,0.426,18.5,8.1,0
SENS-0001075,2026-04-10 14:44:00,NL-RTM,Rotterdam,28.1,84.0,0.112,0.845,0.499,1.3,11.9,2
SENS-0001076,2026-04-07 19:59:00,IN-COK,Kochi Warehouse,31.1,58.3,0.267,0.92,0.435,22.6,6.8,1
SENS-0001077,2026-04-01 12:17:00,IN-KOC,Kochi Port,26.0,46.9,0.125,0.905,0.055,18.4,1.4,0
SENS-0001078,2026-04-02 21:23:00,IN-PUN,Pune DC (Chakan),27.8,71.8,0.214,0.874,1.028,0.1,9.0,0
SENS-0001079,2026-04-08 11:49:00,IN-HYD,Hyderabad DC,35.2,43.4,0.417,0.378,0.326,22.4,8.4,1
SENS-0001080,2026-04-06 18:57:00,SG-SIN,Singapore,29.5,51.0,0.118,0.447,0.66,18.6,12.3,2
SENS-0001081,2026-04-04 18:16:00,IN-COK,Kochi Warehouse,31.1,71.3,0.335,0.874,0.561,25.4,9.4,0
SENS-0001082,2026-04-05 04:21:00,CN-SHA,Shanghai,33.4,73.4,0.238,0.307,0.394,13.3,7.5,0
SENS-0001083,2026-04-05 16:10:00,IN-PUN,Pune DC (Chakan),27.1,79.0,0.411,0.971,0.284,5.9,5.5,0
SENS-0001084,2026-04-04 11:34:00,IN-GAU,Guwahati Warehouse,33.8,61.3,0.501,0.321,0.549,7.6,12.3,1
SENS-0001085,2026-04-09 06:48:00,IN-KND,Kandla Port,36.1,66.9,0.473,0.323,0.587,9.6,9.1,2
SENS-0001086,2026-04-08 17:44:00,AE-DXB,Dubai (Jebel Ali),17.9,66.6,0.098,0.414,0.431,6.1,6.4,0
SENS-0001087,2026-04-02 07:04:00,IN-PAR,Paradip Port,28.1,70.4,0.193,0.382,0.656,2.9,10.2,0
SENS-0001088,2026-04-03 07:12:00,IN-HYD,Hyderabad DC,37.5,56.5,0.521,0.931,0.636,11.4,6.4,0
SENS-0001089,2026-04-03 22:53:00,KR-BUS,Busan,22.0,65.6,0.298,0.753,0.767,13.4,9.9,0
SENS-0001090,2026-04-02 12:25:00,JP-YOK,Yokohama,25.7,55.5,0.379,0.748,0.659,11.9,4.5,3
SENS-0001091,2026-04-01 08:42:00,LK-CMB,Colombo,37.7,86.5,0.426,0.558,0.39,19.9,10.3,0
SENS-0001092,2026-04-03 00:37:00,SG-SIN,Singapore,23.5,57.3,0.183,0.636,0.3,24.2,6.4,2
SENS-0001093,2026-04-04 20:02:00,JP-YOK,Yokohama,28.3,82.6,0.126,0.357,0.046,16.8,9.2,1
SENS-0001094,2026-04-04 17:26:00,SG-SIN,Singapore,25.9,74.3,0.484,0.857,0.428,17.3,3.8,2
SENS-0001095,2026-04-08 17:35:00,CN-NGB,Ningbo,19.4,43.0,0.359,0.594,0.544,19.2,7.3,0
SENS-0001096,2026-04-09 22:26:00,JP-YOK,Yokohama,36.1,93.5,0.676,0.378,0.344,0,8.4,3
SENS-0001097,2026-04-03 01:16:00,IN-HAZ,Hazira Port,27.1,82.3,0.286,0.445,0.511,18.7,5.6,0
SENS-0001098,2026-04-06 19:05:00,IN-CHN,Chennai Port,36.7,49.5,0.251,0.82,0.57,14.5,11.5,0
SENS-0001099,2026-04-07 01:07:00,IN-JNPT,Nhava Sheva (JNPT),22.6,58.7,0.292,0.473,0.279,13.7,4.1,0
SENS-0001100,2026-04-05 19:10:00,IN-HYD,Hyderabad DC,30.1,55.4,0.166,0.888,0.373,19.9,6.0,2
SENS-0001101,2026-04-09 18:02:00,LK-CMB,Colombo,30.6,66.6,0.217,0.719,0.801,15.7,5.4,0
SENS-0001102,2026-04-04 13:23:00,IN-HAZ,Hazira Port,23.9,53.8,0.1,0.769,0.583,9.7,11.8,3
SENS-0001103,2026-04-04 07:42:00,IN-HAZ,Hazira Port,27.8,68.8,0.6,0.93,0.599,0.1,12.1,0
SENS-0001104,2026-04-09 10:36:00,IN-VIZ,Visakhapatnam Port,20.6,56.9,0.207,0.85,0.664,20.9,4.1,0
SENS-0001105,2026-04-07 12:01:00,IN-MUM,Mumbai Warehouse (Bhiwandi),25.4,80.7,0.264,0.935,0.689,0.4,13.5,0
SENS-0001106,2026-04-05 13:35:00,MY-PTG,Port Klang,34.8,80.4,0.406,0.441,0.501,16.5,6.5,0
SENS-0001107,2026-04-08 13:51:00,JP-YOK,Yokohama,34.9,74.1,0.078,0.362,0.519,13.4,6.5,1
SENS-0001108,2026-04-01 21:45:00,IN-JNPT,Nhava Sheva (JNPT),19.4,59.1,0.185,0.645,0.324,0,8.5,0
SENS-0001109,2026-04-10 22:32:00,IN-DEL,Delhi ICD (Tughlakabad),25.2,84.2,0.488,0.789,0.238,15.3,8.9,0
SENS-0001110,2026-04-03 07:56:00,IN-GAU,Guwahati Warehouse,36.4,62.8,0.216,0.506,0.726,8.6,7.6,0
SENS-0001111,2026-04-03 17:23:00,CN-NGB,Ningbo,23.9,66.3,0.509,0.476,1.042,14.4,6.7,0
SENS-0001112,2026-04-04 09:44:00,DE-HAM,Hamburg,27.4,73.3,0.278,0.776,0.579,27.7,9.2,1
SENS-0001113,2026-04-02 16:18:00,IN-MUN,Mundra Port,21.1,51.5,0.177,0.36,0.473,11.6,12.7,0
SENS-0001114,2026-04-06 02:40:00,TH-LCH,Laem Chabang,30.8,67.5,0.024,0.843,0.319,13.8,12.2,0
SENS-0001115,2026-04-03 03:07:00,NL-RTM,Rotterdam,29.8,45.7,0.317,0.628,0.542,8.5,8.7,0
SENS-0001116,2026-04-08 05:23:00,TH-LCH,Laem Chabang,34.0,70.7,0.485,0.311,0.696,7.9,7.9,0
SENS-0001117,2026-04-07 17:42:00,US-NYC,New York/New Jersey,34.6,58.1,0.354,0.692,0.372,14.8,9.6,2
SENS-0001118,2026-04-05 00:32:00,US-NYC,New York/New Jersey,28.6,52.1,0.485,0.303,0.63,18.5,13.0,0
SENS-0001119,2026-04-03 15:30:00,NL-RTM,Rotterdam,18.5,61.7,0.491,0.685,0.667,20.5,12.5,0
SENS-0001120,2026-04-01 02:46:00,TH-LCH,Laem Chabang,21.7,40.9,0.15,0.777,0.25,24.9,3.2,2
SENS-0001121,2026-04-10 23:46:00,IN-AMD,Ahmedabad DC,30.8,72.4,0.318,0.814,0.337,16.7,8.8,0
SENS-0001122,2026-04-06 06:44:00,IN-KOC,Kochi Port,34.4,59.2,0.254,0.94,0.756,10.0,3.6,0
SENS-0001123,2026-04-10 08:07:00,AE-DXB,Dubai (Jebel Ali),12.7,51.5,0.129,0.363,0.551,18.2,9.4,0
SENS-0001124,2026-04-06 01:49:00,TH-LCH,Laem Chabang,25.1,85.4,0.446,0.699,0.875,4.9,5.8,0
SENS-0001125,2026-04-03 05:51:00,IN-PAR,Paradip Port,26.8,78.2,0.148,0.71,0.656,3.0,5.8,0
SENS-0001126,2026-04-07 03:39:00,ZA-DUR,Durban,19.7,52.7,0.49,0.41,0.689,15.1,11.0,0
SENS-0001127,2026-04-08 23:46:00,IN-KND,Kandla Port,32.0,75.8,0.144,0.855,0.199,14.0,4.5,1
SENS-0001128,2026-04-06 21:56:00,IN-KOC,Kochi Port,28.2,74.5,0.664,0.7,0.33,6.4,5.9,0
SENS-0001129,2026-04-02 14:28:00,TH-LCH,Laem Chabang,37.6,60.8,0.06,0.708,0.4,27.8,4.1,1
SENS-0001130,2026-04-07 23:13:00,IN-DEL,Delhi ICD (Tughlakabad),30.2,74.4,0.369,0.693,0.723,16.6,7.9,0
SENS-0001131,2026-04-05 13:16:00,KR-BUS,Busan,19.6,86.3,0.176,0.778,0.818,24.2,9.0,0
SENS-0001132,2026-04-02 19:07:00,CN-SHA,Shanghai,25.2,77.7,0.244,0.942,0.657,0,8.1,2
SENS-0001133,2026-04-06 16:25:00,IN-HAZ,Hazira Port,32.2,53.8,0.556,0.529,0.567,17.9,8.2,0
SENS-0001134,2026-04-03 16:57:00,CN-SZX,Shenzhen,28.1,57.2,0.077,0.531,1.097,20.8,4.2,3
SENS-0001135,2026-04-05 20:14:00,DE-HAM,Hamburg,19.9,63.3,0.632,0.573,0.873,26.6,9.7,1
SENS-0001136,2026-04-05 21:58:00,IN-TUT,Tuticorin Port,29.4,95.4,0.082,0.437,0.567,8.4,8.3,0
SENS-0001137,2026-04-04 02:58:00,ZA-DUR,Durban,34.4,67.6,0.288,0.397,0.621,24.6,12.7,0
SENS-0001138,2026-04-09 09:09:00,CN-SZX,Shenzhen,33.8,55.4,0.185,0.54,0.379,26.0,7.3,0
SENS-0001139,2026-04-04 05:34:00,US-NYC,New York/New Jersey,29.6,95.1,0.332,0.798,0.541,17.7,7.5,2
SENS-0001140,2026-04-09 15:11:00,AE-DXB,Dubai (Jebel Ali),28.1,19.8,0.436,0.786,0.211,19.2,6.4,0
SENS-0001141,2026-04-04 10:53:00,CN-SHA,Shanghai,24.5,77.8,0.261,0.926,0.553,10.2,6.8,3
SENS-0001142,2026-04-06 19:18:00,US-NYC,New York/New Jersey,34.3,56.9,0.417,0.809,0.842,7.9,5.4,0
SENS-0001143,2026-04-06 04:58:00,SG-SIN,Singapore,31.1,36.2,0.083,0.36,0.966,3.6,3.3,0
SENS-0001144,2026-04-06 02:18:00,IN-TUT,Tuticorin Port,39.5,70.0,0.152,0.953,0.395,10.6,6.5,2
SENS-0001145,2026-04-09 19:28:00,IN-COK,Kochi Warehouse,26.8,62.6,0.49,0.316,0.701,1.5,6.9,0
SENS-0001146,2026-04-10 13:12:00,CN-SZX,Shenzhen,26.5,73.6,0.075,0.91,0.75,31.5,9.7,2
SENS-0001147,2026-04-07 14:57:00,CN-SHA,Shanghai,22.8,73.7,0.344,0.54,0.189,10.2,5.3,0
SENS-0001148,2026-04-04 07:40:00,US-NYC,New York/New Jersey,33.9,45.3,0.406,0.716,0.54,1.5,10.6,0
SENS-0001149,2026-04-04 11:34:00,IN-COK,Kochi Warehouse,31.0,62.1,0.122,0.508,0.959,0,7.7,0
SENS-0001150,2026-04-03 15:03:00,IN-HAZ,Hazira Port,29.3,57.5,0.069,0.442,0.809,32.8,9.2,0
SENS-0001151,2026-04-03 21:17:00,IN-HYD,Hyderabad DC,22.1,73.6,0.037,0.97,0.565,8.7,7.9,1
SENS-0001152,2026-04-05 14:02:00,US-LAX,Los Angeles,18.4,36.2,0.127,0.892,0.65,21.1,11.0,0
SENS-0001153,2026-04-02 14:35:00,IN-BLR,Bangalore Hub (Whitefield),32.7,56.0,0.41,0.568,0.338,11.4,5.6,0
SENS-0001154,2026-04-01 07:29:00,NL-RTM,Rotterdam,30.4,99.3,0.486,0.668,0.453,8.0,4.0,2
SENS-0001155,2026-04-06 11:47:00,IN-COK,Kochi Warehouse,18.0,35.2,0.239,0.856,0.758,14.0,4.3,0
SENS-0001156,2026-04-06 05:38:00,CN-SHA,Shanghai,36.8,74.5,0.644,0.338,0.482,13.9,7.2,0
SENS-0001157,2026-04-10 11:16:00,MY-PTG,Port Klang,32.4,86.9,0.882,0.373,0.622,14.4,10.1,1
SENS-0001158,2026-04-10 19:05:00,CN-NGB,Ningbo,35.6,61.4,0.1,0.336,0.709,20.2,9.7,0
SENS-0001159,2026-04-10 08:21:00,JP-YOK,Yokohama,22.6,71.4,0.329,0.943,0.761,18.7,5.1,0
SENS-0001160,2026-04-09 14:50:00,CN-SZX,Shenzhen,25.8,50.6,0.198,0.692,0.579,23.4,6.7,0
SENS-0001161,2026-04-06 09:37:00,DE-HAM,Hamburg,31.2,48.8,0.298,0.331,0.32,4.8,9.5,0
SENS-0001162,2026-04-03 10:21:00,CN-NGB,Ningbo,26.9,32.2,0.178,0.432,0.367,17.9,3.5,1
SENS-0001163,2026-04-05 03:43:00,IN-JNPT,Nhava Sheva (JNPT),41.5,77.3,0.311,0.321,0.46,3.3,9.5,0
SENS-0001164,2026-04-10 11:57:00,SG-SIN,Singapore,31.4,64.0,0.569,0.42,0.905,12.3,12.8,1
SENS-0001165,2026-04-02 21:07:00,US-LAX,Los Angeles,41.7,87.4,0.29,0.693,0.558,7.4,10.8,0
SENS-0001166,2026-04-09 21:21:00,ZA-DUR,Durban,36.4,56.1,0.276,0.752,0.808,34.6,9.9,0
SENS-0001167,2026-04-04 13:11:00,IN-HAZ,Hazira Port,30.3,72.4,0.13,0.435,0.374,4.7,9.1,0
SENS-0001168,2026-04-09 22:34:00,IN-HAZ,Hazira Port,22.6,55.3,0.276,0.878,0.146,16.1,10.2,0
SENS-0001169,2026-04-02 20:41:00,IN-MUN,Mundra Port,32.3,62.1,0.208,0.675,0.408,7.1,9.8,0
SENS-0001170,2026-04-02 20:35:00,CN-SHA,Shanghai,21.7,93.3,0.214,0.668,0.641,27.4,9.6,0
SENS-0001171,2026-04-08 05:16:00,AE-DXB,Dubai (Jebel Ali),24.6,36.2,0.421,0.595,0.575,0.2,7.9,0
SENS-0001172,2026-04-01 06:40:00,IN-CHN,Chennai Port,14.1,35.9,0.272,0.355,0.476,12.2,5.5,1
SENS-0001173,2026-04-03 07:32:00,CN-SHA,Shanghai,33.2,84.9,0.108,0.677,0.821,23.1,5.0,0
SENS-0001174,2026-04-04 11:05:00,DE-HAM,Hamburg,24.5,42.5,0.378,0.772,0.449,0.6,7.1,3
SENS-0001175,2026-04-03 16:24:00,JP-YOK,Yokohama,28.7,76.3,0.258,0.356,0.31,13.3,10.4,1
SENS-0001176,2026-04-02 03:46:00,DE-HAM,Hamburg,28.9,48.2,0.476,0.911,0.494,11.6,8.5,1
SENS-0001177,2026-04-02 06:41:00,US-LAX,Los Angeles,28.6,94.4,0.47,0.945,0.102,10.4,11.3,0
SENS-0001178,2026-04-02 14:34:00,US-LAX,Los Angeles,22.6,45.2,0.18,0.477,0.79,1.5,8.8,0
SENS-0001179,2026-04-02 20:01:00,IN-PUN,Pune DC (Chakan),33.1,67.6,0.171,0.633,0.455,22.3,8.5,1
SENS-0001180,2026-04-09 16:43:00,IN-CHN,Chennai Port,29.5,68.7,0.082,0.575,0.688,11.3,5.1,1
SENS-0001181,2026-04-05 16:27:00,MY-PTG,Port Klang,27.5,51.6,0.088,0.683,0.338,13.3,4.1,0
SENS-0001182,2026-04-02 02:41:00,IN-AMD,Ahmedabad DC,28.7,94.8,0.153,0.63,0.415,16.8,8.3,0
SENS-0001183,2026-04-01 14:35:00,LK-CMB,Colombo,40.0,52.2,0.156,0.638,0.473,15.0,6.4,2
SENS-0001184,2026-04-06 06:34:00,DE-HAM,Hamburg,31.2,62.7,0.071,0.928,0.342,9.4,5.5,0
SENS-0001185,2026-04-01 11:27:00,IN-BLR,Bangalore Hub (Whitefield),27.7,58.0,0.24,0.635,0.776,20.0,6.9,0
SENS-0001186,2026-04-02 15:57:00,KR-BUS,Busan,29.9,28.3,0.276,0.725,0.77,10.3,9.7,0
SENS-0001187,2026-04-04 15:17:00,CN-NGB,Ningbo,26.1,52.5,0.586,0.779,0.276,18.1,10.0,0
SENS-0001188,2026-04-07 11:15:00,IN-TUT,Tuticorin Port,20.3,74.4,0.262,0.834,0.226,5.6,8.4,2
SENS-0001189,2026-04-06 01:12:00,KR-BUS,Busan,23.7,71.4,0.307,0.545,0.418,13.3,6.9,2
SENS-0001190,2026-04-08 19:34:00,JP-YOK,Yokohama,26.4,41.4,0.253,0.691,0.08,23.0,8.5,0
SENS-0001191,2026-04-01 16:26:00,IN-KOC,Kochi Port,31.4,70.9,0.507,0.548,0.71,5.1,6.3,2
SENS-0001192,2026-04-05 08:06:00,IN-KND,Kandla Port,24.9,56.9,0.145,0.687,0.605,22.2,6.4,0
SENS-0001193,2026-04-03 11:09:00,IN-PUN,Pune DC (Chakan),26.9,68.8,0.208,0.32,0.288,16.6,6.2,0
SENS-0001194,2026-04-06 04:08:00,US-LAX,Los Angeles,25.1,72.7,0.388,0.446,0.421,5.1,7.3,0
SENS-0001195,2026-04-08 15:11:00,IN-PUN,Pune DC (Chakan),34.4,51.0,0.111,0.682,0.149,20.5,4.8,1
SENS-0001196,2026-04-06 15:26:00,IN-GAU,Guwahati Warehouse,39.4,69.5,0.12,0.531,0.703,18.6,10.6,0
SENS-0001197,2026-04-07 21:16:00,IN-KOC,Kochi Port,24.3,49.8,0.21,0.373,0.465,26.4,9.2,0
SENS-0001198,2026-04-06 06:46:00,JP-YOK,Yokohama,35.4,38.8,0.186,0.68,0.896,9.5,8.9,0
SENS-0001199,2026-04-04 09:32:00,DE-HAM,Hamburg,17.8,62.8,0.044,0.969,0.503,28.9,8.8,0
SENS-0001200,2026-04-03 08:34:00,KR-BUS,Busan,21.9,57.1,0.331,0.488,0.582,8.3,6.0,0
SENS-0001201,2026-04-06 15:55:00,IN-MUN,Mundra Port,24.7,83.9,0.053,0.624,0.429,8.7,9.5,0
SENS-0001202,2026-04-06 11:38:00,TH-LCH,Laem Chabang,43.2,62.4,0.235,0.926,0.552,21.5,11.7,2
SENS-0001203,2026-04-04 21:11:00,CN-SHA,Shanghai,31.1,89.5,0.694,0.39,0.417,20.9,9.1,1
SENS-0001204,2026-04-05 05:40:00,CN-NGB,Ningbo,31.4,74.8,0.347,0.877,0.698,4.8,9.7,0
SENS-0001205,2026-04-01 15:06:00,JP-YOK,Yokohama,18.8,47.3,0.09,0.366,0.298,10.1,7.8,0
SENS-0001206,2026-04-04 11:13:00,IN-BLR,Bangalore Hub (Whitefield),38.6,49.5,0.117,0.83,0.364,12.5,3.0,0
SENS-0001207,2026-04-06 10:34:00,IN-DEL,Delhi ICD (Tughlakabad),29.3,38.2,0.237,0.916,0.324,15.6,5.6,2
SENS-0001208,2026-04-09 02:57:00,IN-CHN,Chennai Port,34.7,78.9,0.362,0.755,0.714,17.5,9.2,0
SENS-0001209,2026-04-07 08:20:00,IN-DEL,Delhi ICD (Tughlakabad),33.1,82.6,0.641,0.334,0.492,21.5,10.2,0
SENS-0001210,2026-04-04 18:42:00,IN-MUN,Mundra Port,29.2,47.4,0.515,0.328,0.272,22.5,10.6,0
SENS-0001211,2026-04-07 14:45:00,IN-PAR,Paradip Port,36.7,58.8,0.604,0.339,0.457,2.4,5.9,0
SENS-0001212,2026-04-08 04:13:00,IN-KOC,Kochi Port,18.9,86.7,0.378,0.674,0.525,11.6,7.5,0
SENS-0001213,2026-04-02 13:03:00,US-LAX,Los Angeles,26.9,56.9,0.044,0.944,0.488,6.5,6.1,0
SENS-0001214,2026-04-04 16:57:00,CN-NGB,Ningbo,30.0,65.9,0.13,0.625,0.807,0.5,9.8,3
SENS-0001215,2026-04-04 05:54:00,IN-KND,Kandla Port,31.0,61.6,0.32,0.336,0.925,16.0,5.4,2
SENS-0001216,2026-04-07 10:36:00,AE-DXB,Dubai (Jebel Ali),32.5,66.3,0.375,0.687,0.48,0,13.2,0
SENS-0001217,2026-04-08 05:22:00,IN-CHN,Chennai Port,26.0,62.9,0.246,0.456,0.286,21.1,12.1,0
SENS-0001218,2026-04-10 10:35:00,US-LAX,Los Angeles,29.4,71.4,0.146,0.58,0.51,8.9,7.5,2
SENS-0001219,2026-04-04 02:33:00,IN-AMD,Ahmedabad DC,30.6,71.6,0.741,0.484,0.545,9.2,11.2,0
SENS-0001220,2026-04-10 13:05:00,NL-RTM,Rotterdam,26.8,45.0,0.635,0.375,0.576,18.2,6.1,0
SENS-0001221,2026-04-07 02:46:00,IN-VIZ,Visakhapatnam Port,29.5,60.9,0.068,0.549,0.315,8.9,10.1,2
SENS-0001222,2026-04-09 12:44:00,IN-DEL,Delhi ICD (Tughlakabad),23.2,68.3,0.366,0.378,0.656,9.8,6.4,0
SENS-0001223,2026-04-09 12:51:00,IN-KOC,Kochi Port,24.4,70.0,0.173,0.933,0.463,19.7,8.6,0
SENS-0001224,2026-04-07 22:01:00,IN-MUM,Mumbai Warehouse (Bhiwandi),21.5,91.6,0.161,0.707,0.513,7.8,11.3,0
SENS-0001225,2026-04-10 07:41:00,MY-PTG,Port Klang,29.0,45.7,0.464,0.787,0.576,24.3,9.3,0
SENS-0001226,2026-04-01 21:57:00,IN-MUM,Mumbai Warehouse (Bhiwandi),35.3,57.9,0.275,0.788,0.583,10.9,6.6,0
SENS-0001227,2026-04-04 23:13:00,IN-HAZ,Hazira Port,27.5,84.4,0.153,0.967,0.363,22.7,5.2,0
SENS-0001228,2026-04-04 17:42:00,IN-KOL,Kolkata Port,15.0,51.7,0.292,0.383,0.534,2.9,8.5,0
SENS-0001229,2026-04-10 01:26:00,IN-KND,Kandla Port,27.4,56.8,0.549,0.731,0.78,22.7,11.9,0
