shipment_id,booking_date,eta,actual_arrival,transit_days_planned,transit_days_actual,delay_days,origin_id,origin_name,dest_id,dest_name,commodity,hs_code,teu,total_cost_usd,carrier,status,risk_score,disruption_flag,transport_mode,distance_kkm
SHP-003693,2025-03-12,2025-04-03,2025-04-11,22,30,8,IN-VIZ,Visakhapatnam Port,LK-CMB,Colombo,Automobile Parts,HS-87,1,2450,Evergreen Marine,delivered,0.407,1,rail,4.6
SHP-003694,2026-04-19,2026-05-15,2026-05-17,26,28,2,NL-RTM,Rotterdam,JP-YOK,Yokohama,Electronics,HS-85,3,10587,Evergreen Marine,delivered,0.133,0,sea,1.4
SHP-003695,2026-01-27,2026-02-20,2026-02-21,24,25,1,AE-DXB,Dubai (Jebel Ali),IN-HAZ,Hazira Port,Pharmaceuticals,HS-30,1,4341,Maersk Line,delivered,0.094,0,road,0.8
SHP-003696,2025-05-28,2025-06-09,2025-06-11,12,14,2,IN-KND,Kandla Port,US-LAX,Los Angeles,Textiles & Garments,HS-62,2,2868,Evergreen Marine,delivered,0.357,0,multimodal,4.5
SHP-003697,2025-04-22,2025-04-29,2025-05-02,7,10,3,IN-JNPT,Nhava Sheva (JNPT),DE-HAM,Hamburg,Medical Devices,HS-90,4,15596,PIL (Pacific Int. Line),delivered,0.301,0,rail,2.7
SHP-003698,2026-01-31,2026-02-14,2026-02-19,14,19,5,IN-AMD,Ahmedabad DC,CN-SHA,Shanghai,Chemical Products,HS-38,3,6231,CMA CGM,in_transit,0.068,0,sea,1.1
SHP-003699,2025-02-24,2025-03-09,2025-03-09,13,13,0,IN-GAU,Guwahati Warehouse,IN-KND,Kandla Port,Agricultural Products,HS-10,3,12711,PIL (Pacific Int. Line),delivered,0.168,0,sea,3.1
SHP-003700,2025-10-10,2025-10-20,2025-10-20,10,10,0,IN-CHN,Chennai Port,IN-BLR,Bangalore Hub (Whitefield),Medical Devices,HS-90,2,2338,Yang Ming,in_transit,0.211,0,rail,1.1
SHP-003701,2025-09-24,2025-10-01,2025-10-01,7,7,0,IN-DEL,Delhi ICD (Tughlakabad),IN-GAU,Guwahati Warehouse,Chemical Products,HS-38,2,2208,CMA CGM,delayed,0.208,0,multimodal,4.5
SHP-003702,2025-06-22,2025-07-11,2025-07-11,19,19,0,IN-HAZ,Hazira Port,CN-SHA,Shanghai,Electronics,HS-85,3,11358,CMA CGM,delivered,0.259,0,sea,2.4
SHP-003703,2026-03-30,2026-04-11,2026-04-13,12,14,2,KR-BUS,Busan,IN-PAR,Paradip Port,Electronics,HS-85,2,5626,COSCO Shipping,disrupted,0.199,0,multimodal,2.9
SHP-003704,2025-03-12,2025-03-27,2025-03-27,15,15,0,TH-LCH,Laem Chabang,KR-BUS,Busan,Medical Devices,HS-90,2,2154,COSCO Shipping,delivered,0.332,0,road,4.3
SHP-003705,2026-02-23,2026-03-01,2026-03-01,6,6,0,JP-YOK,Yokohama,IN-PAR,Paradip Port,Chemical Products,HS-38,1,4190,Maersk Line,delivered,0.268,0,multimodal,3.9
SHP-003706,2025-09-20,2025-09-25,2025-09-26,5,6,1,IN-JNPT,Nhava Sheva (JNPT),JP-YOK,Yokohama,Machinery,HS-84,1,1869,PIL (Pacific Int. Line),delivered,0.551,0,rail,1.2
SHP-003707,2025-03-28,2025-04-07,2025-04-07,10,10,0,JP-YOK,Yokohama,IN-COK,Kochi Warehouse,Electronics,HS-85,4,9792,ZIM Integrated Shipping,disrupted,0.248,0,sea,1.7
SHP-003708,2026-03-31,2026-04-30,2026-05-05,30,35,5,IN-GAU,Guwahati Warehouse,IN-DEL,Delhi ICD (Tughlakabad),Steel & Iron,HS-72,4,4748,PIL (Pacific Int. Line),delayed,0.206,0,road,5.0
SHP-003709,2026-01-15,2026-01-22,2026-01-22,7,7,0,CN-SZX,Shenzhen,KR-BUS,Busan,Textiles & Garments,HS-62,2,4694,ZIM Integrated Shipping,delivered,0.431,0,multimodal,3.7
SHP-003710,2025-05-31,2025-07-14,2025-07-14,44,44,0,AE-DXB,Dubai (Jebel Ali),IN-KOL,Kolkata Port,Automobile Parts,HS-87,3,11940,Yang Ming,delivered,0.164,0,sea,4.0
SHP-003711,2025-11-27,2025-12-04,2025-12-09,7,12,5,DE-HAM,Hamburg,IN-DEL,Delhi ICD (Tughlakabad),Machinery,HS-84,3,7104,Maersk Line,delivered,0.074,0,sea,3.9
SHP-003712,2025-03-22,2025-05-03,2025-05-04,42,43,1,IN-HAZ,Hazira Port,IN-AMD,Ahmedabad DC,Machinery,HS-84,8,15712,MSC,in_transit,0.334,0,sea,1.2
SHP-003713,2025-04-14,2025-04-17,2025-04-17,3,3,0,IN-COK,Kochi Warehouse,IN-PAR,Paradip Port,Petroleum Products,HS-27,8,20400,PIL (Pacific Int. Line),delivered,0.583,0,multimodal,1.9
SHP-003714,2025-08-05,2025-09-12,2025-09-12,38,38,0,US-LAX,Los Angeles,CN-SZX,Shenzhen,Machinery,HS-84,8,28960,Hapag-Lloyd,delivered,0.453,0,road,2.6
SHP-003715,2025-10-11,2025-10-18,2025-10-18,7,7,0,DE-HAM,Hamburg,IN-PUN,Pune DC (Chakan),Automobile Parts,HS-87,4,12668,Evergreen Marine,delayed,0.322,0,sea,1.1
SHP-003716,2026-03-23,2026-04-20,2026-04-20,28,28,0,AE-DXB,Dubai (Jebel Ali),SG-SIN,Singapore,Petroleum Products,HS-27,2,6774,MSC,in_transit,0.269,0,multimodal,2.3
SHP-003717,2025-10-26,2025-11-24,2025-11-24,29,29,0,IN-PUN,Pune DC (Chakan),KR-BUS,Busan,Steel & Iron,HS-72,1,4036,Yang Ming,delayed,0.353,0,multimodal,4.0
SHP-003718,2026-02-16,2026-03-22,2026-03-22,34,34,0,DE-HAM,Hamburg,IN-TUT,Tuticorin Port,Textiles & Garments,HS-62,5,9795,COSCO Shipping,delayed,0.059,0,rail,2.4
SHP-003719,2026-01-31,2026-03-04,2026-03-07,32,35,3,IN-BLR,Bangalore Hub (Whitefield),IN-AMD,Ahmedabad DC,Pharmaceuticals,HS-30,4,16844,ZIM Integrated Shipping,disrupted,0.24,0,multimodal,1.4
SHP-003720,2025-04-10,2025-05-09,2025-05-10,29,30,1,IN-BLR,Bangalore Hub (Whitefield),CN-SHA,Shanghai,Chemical Products,HS-38,5,22175,MSC,delivered,0.225,0,multimodal,1.0
SHP-003721,2025-02-14,2025-03-29,2025-03-29,43,43,0,JP-YOK,Yokohama,IN-MUM,Mumbai Warehouse (Bhiwandi),Food Products,HS-21,5,4300,Yang Ming,delivered,0.451,0,road,3.6
SHP-003722,2025-05-22,2025-06-18,2025-06-18,27,27,0,US-NYC,New York/New Jersey,IN-VIZ,Visakhapatnam Port,Agricultural Products,HS-10,2,1608,MSC,delivered,0.477,0,multimodal,2.9
SHP-003723,2025-03-19,2025-03-30,2025-04-04,11,16,5,TH-LCH,Laem Chabang,CN-SHA,Shanghai,Pharmaceuticals,HS-30,1,2376,Maersk Line,delayed,0.117,0,road,3.4
SHP-003724,2025-11-23,2025-11-29,2025-11-29,6,6,0,ZA-DUR,Durban,US-LAX,Los Angeles,Pharmaceuticals,HS-30,2,3936,Maersk Line,delayed,0.006,0,rail,0.8
SHP-003725,2026-03-04,2026-04-03,2026-04-04,30,31,1,IN-COK,Kochi Warehouse,IN-MUN,Mundra Port,Chemical Products,HS-38,4,3648,Yang Ming,disrupted,0.455,0,multimodal,1.1
SHP-003726,2025-02-25,2025-03-09,2025-03-09,12,12,0,IN-VIZ,Visakhapatnam Port,IN-MUM,Mumbai Warehouse (Bhiwandi),Petroleum Products,HS-27,2,4408,Hapag-Lloyd,delivered,0.689,0,sea,2.3
SHP-003727,2026-02-22,2026-03-03,2026-03-06,9,12,3,IN-BLR,Bangalore Hub (Whitefield),DE-HAM,Hamburg,Machinery,HS-84,5,18385,Evergreen Marine,delivered,0.254,0,rail,4.4
SHP-003728,2026-04-20,2026-05-17,2026-05-20,27,30,3,JP-YOK,Yokohama,IN-MUN,Mundra Port,Food Products,HS-21,3,8358,PIL (Pacific Int. Line),delivered,0.33,0,rail,1.7
SHP-003729,2026-01-15,2026-02-16,2026-02-17,32,33,1,IN-HYD,Hyderabad DC,ZA-DUR,Durban,Electronics,HS-85,10,20720,Hapag-Lloyd,delivered,0.48,0,multimodal,4.3
SHP-003730,2025-02-14,2025-03-03,2025-03-03,17,17,0,IN-VIZ,Visakhapatnam Port,IN-DEL,Delhi ICD (Tughlakabad),Pharmaceuticals,HS-30,3,4617,COSCO Shipping,delivered,0.019,0,sea,2.3
SHP-003731,2025-08-24,2025-09-05,2025-09-06,12,13,1,IN-GAU,Guwahati Warehouse,IN-JNPT,Nhava Sheva (JNPT),Machinery,HS-84,4,17496,Yang Ming,delivered,0.332,0,rail,4.7
SHP-003732,2025-06-24,2025-08-06,2025-08-07,43,44,1,IN-KOL,Kolkata Port,IN-MUN,Mundra Port,Chemical Products,HS-38,4,10900,Evergreen Marine,delayed,0.489,0,sea,4.8
SHP-003733,2025-03-23,2025-04-25,2025-04-25,33,33,0,JP-YOK,Yokohama,IN-KOL,Kolkata Port,Steel & Iron,HS-72,5,12980,MSC,delayed,0.362,0,road,3.8
SHP-003734,2025-01-28,2025-02-06,2025-02-14,9,17,8,LK-CMB,Colombo,ZA-DUR,Durban,Textiles & Garments,HS-62,2,8810,PIL (Pacific Int. Line),delivered,0.471,1,rail,3.6
SHP-003735,2025-01-15,2025-02-12,2025-02-13,28,29,1,US-LAX,Los Angeles,NL-RTM,Rotterdam,Chemical Products,HS-38,8,25192,MSC,delivered,0.251,0,multimodal,3.7
SHP-003736,2025-10-10,2025-10-25,2025-10-27,15,17,2,US-LAX,Los Angeles,KR-BUS,Busan,Textiles & Garments,HS-62,1,4091,ZIM Integrated Shipping,delayed,0.491,0,sea,3.7
SHP-003737,2025-07-13,2025-07-19,2025-07-22,6,9,3,SG-SIN,Singapore,US-LAX,Los Angeles,Steel & Iron,HS-72,3,3081,MSC,delivered,0.037,0,sea,2.9
SHP-003738,2025-04-25,2025-05-31,2025-06-02,36,38,2,IN-TUT,Tuticorin Port,CN-SZX,Shenzhen,Steel & Iron,HS-72,8,11296,Yang Ming,disrupted,0.585,0,multimodal,2.1
SHP-003739,2025-09-02,2025-09-06,2025-09-07,4,5,1,JP-YOK,Yokohama,CN-SHA,Shanghai,Steel & Iron,HS-72,5,13815,CMA CGM,delayed,0.192,0,sea,4.5
SHP-003740,2026-04-14,2026-04-22,2026-04-24,8,10,2,IN-HAZ,Hazira Port,IN-HYD,Hyderabad DC,Pharmaceuticals,HS-30,3,4623,COSCO Shipping,in_transit,0.599,0,multimodal,1.3
SHP-003741,2025-03-16,2025-04-06,2025-04-06,21,21,0,IN-COK,Kochi Warehouse,IN-KOL,Kolkata Port,Pharmaceuticals,HS-30,2,2398,CMA CGM,delivered,0.107,0,sea,1.9
SHP-003742,2025-05-02,2025-06-08,2025-06-11,37,40,3,AE-DXB,Dubai (Jebel Ali),IN-TUT,Tuticorin Port,Food Products,HS-21,8,32024,Hapag-Lloyd,delivered,0.451,0,rail,1.5
SHP-003743,2025-04-28,2025-06-07,2025-06-08,40,41,1,IN-AMD,Ahmedabad DC,AE-DXB,Dubai (Jebel Ali),Textiles & Garments,HS-62,3,8196,PIL (Pacific Int. Line),delayed,0.5,0,sea,1.9
SHP-003744,2025-12-10,2026-01-07,2026-01-08,28,29,1,AE-DXB,Dubai (Jebel Ali),IN-GAU,Guwahati Warehouse,Petroleum Products,HS-27,4,3312,Maersk Line,delivered,0.499,0,multimodal,3.8
SHP-003745,2025-07-11,2025-07-29,2025-08-01,18,21,3,IN-PUN,Pune DC (Chakan),JP-YOK,Yokohama,Pharmaceuticals,HS-30,3,3204,PIL (Pacific Int. Line),delivered,0.187,0,road,1.6
SHP-003746,2025-07-03,2025-07-22,2025-07-22,19,19,0,TH-LCH,Laem Chabang,IN-TUT,Tuticorin Port,Food Products,HS-21,4,6560,CMA CGM,delivered,0.057,0,road,4.1
SHP-003747,2025-09-26,2025-11-06,2025-11-06,41,41,0,IN-HAZ,Hazira Port,IN-JNPT,Nhava Sheva (JNPT),Machinery,HS-84,2,1610,MSC,delayed,0.431,0,multimodal,1.8
SHP-003748,2026-01-17,2026-02-17,2026-02-19,31,33,2,IN-DEL,Delhi ICD (Tughlakabad),IN-JNPT,Nhava Sheva (JNPT),Machinery,HS-84,2,8678,ONE (Ocean Network Express),delivered,0.282,0,sea,3.9
SHP-003749,2025-04-08,2025-04-19,2025-04-19,11,11,0,IN-MUM,Mumbai Warehouse (Bhiwandi),AE-DXB,Dubai (Jebel Ali),Steel & Iron,HS-72,1,4255,ZIM Integrated Shipping,in_transit,0.012,0,rail,1.0
SHP-003750,2025-08-04,2025-09-13,2025-09-16,40,43,3,IN-AMD,Ahmedabad DC,NL-RTM,Rotterdam,Chemical Products,HS-38,1,3092,COSCO Shipping,delivered,0.347,0,sea,2.2
SHP-003751,2025-01-25,2025-03-09,2025-03-09,43,43,0,IN-TUT,Tuticorin Port,IN-MUN,Mundra Port,Petroleum Products,HS-27,2,6508,Hapag-Lloyd,delivered,0.282,0,multimodal,3.6
SHP-003752,2025-01-08,2025-01-18,2025-01-19,10,11,1,IN-MUM,Mumbai Warehouse (Bhiwandi),IN-HAZ,Hazira Port,Food Products,HS-21,5,21750,Hapag-Lloyd,disrupted,0.179,0,multimodal,1.0
SHP-003753,2026-01-01,2026-02-14,2026-02-17,44,47,3,CN-NGB,Ningbo,IN-KOL,Kolkata Port,Agricultural Products,HS-10,10,36160,Yang Ming,delivered,0.565,0,rail,1.2
SHP-003754,2025-12-08,2026-01-18,2026-01-26,41,49,8,US-LAX,Los Angeles,CN-NGB,Ningbo,Steel & Iron,HS-72,10,12640,ONE (Ocean Network Express),delivered,0.076,1,road,4.6
SHP-003755,2025-04-04,2025-04-24,2025-04-25,20,21,1,CN-SZX,Shenzhen,IN-PAR,Paradip Port,Automobile Parts,HS-87,2,2610,COSCO Shipping,delivered,0.389,0,multimodal,2.7
SHP-003756,2025-04-28,2025-06-06,2025-06-24,39,57,18,SG-SIN,Singapore,IN-KOL,Kolkata Port,Chemical Products,HS-38,3,9141,MSC,delivered,0.091,1,multimodal,1.9
SHP-003757,2026-01-11,2026-01-27,2026-01-30,16,19,3,US-NYC,New York/New Jersey,DE-HAM,Hamburg,Steel & Iron,HS-72,3,2625,CMA CGM,delayed,0.451,0,road,1.2
SHP-003758,2025-04-07,2025-05-05,2025-05-06,28,29,1,CN-NGB,Ningbo,SG-SIN,Singapore,Machinery,HS-84,8,24528,Maersk Line,delivered,0.095,0,rail,3.1
SHP-003759,2025-01-19,2025-01-23,2025-01-26,4,7,3,CN-SZX,Shenzhen,IN-MUN,Mundra Port,Pharmaceuticals,HS-30,3,6594,Evergreen Marine,delivered,0.484,0,multimodal,3.8
SHP-003760,2025-10-25,2025-11-03,2025-11-08,9,14,5,IN-HAZ,Hazira Port,IN-MUM,Mumbai Warehouse (Bhiwandi),Textiles & Garments,HS-62,10,39470,COSCO Shipping,in_transit,0.377,0,sea,3.6
SHP-003761,2026-01-17,2026-01-24,2026-01-25,7,8,1,TH-LCH,Laem Chabang,IN-CHN,Chennai Port,Steel & Iron,HS-72,1,3438,Hapag-Lloyd,delivered,0.365,0,road,3.1
SHP-003762,2025-04-25,2025-05-09,2025-05-09,14,14,0,US-NYC,New York/New Jersey,IN-HAZ,Hazira Port,Agricultural Products,HS-10,2,4928,ZIM Integrated Shipping,delayed,0.101,0,rail,1.5
SHP-003763,2025-11-19,2025-12-28,2025-12-30,39,41,2,IN-KND,Kandla Port,IN-VIZ,Visakhapatnam Port,Petroleum Products,HS-27,1,3086,MSC,delivered,0.588,0,sea,0.6
SHP-003764,2025-01-10,2025-02-04,2025-02-09,25,30,5,IN-PUN,Pune DC (Chakan),IN-VIZ,Visakhapatnam Port,Food Products,HS-21,1,2683,ZIM Integrated Shipping,disrupted,0.587,0,rail,1.6
SHP-003765,2025-05-11,2025-06-12,2025-06-13,32,33,1,CN-NGB,Ningbo,IN-CHN,Chennai Port,Food Products,HS-21,2,5820,Yang Ming,delivered,0.311,0,road,2.0
SHP-003766,2025-07-26,2025-08-11,2025-08-23,16,28,12,IN-KND,Kandla Port,MY-PTG,Port Klang,Chemical Products,HS-38,2,3398,Yang Ming,delayed,0.083,1,multimodal,4.2
SHP-003767,2025-11-30,2025-12-14,2025-12-15,14,15,1,IN-KND,Kandla Port,LK-CMB,Colombo,Chemical Products,HS-38,20,26300,Maersk Line,delivered,0.447,0,sea,1.0
SHP-003768,2025-01-27,2025-03-02,2025-03-04,34,36,2,IN-PAR,Paradip Port,DE-HAM,Hamburg,Pharmaceuticals,HS-30,1,2827,ZIM Integrated Shipping,in_transit,0.228,0,rail,2.5
SHP-003769,2025-05-14,2025-06-01,2025-06-03,18,20,2,IN-COK,Kochi Warehouse,IN-CHN,Chennai Port,Plastics,HS-39,1,2667,Yang Ming,in_transit,0.108,0,rail,1.1
SHP-003770,2025-07-18,2025-07-23,2025-07-23,5,5,0,ZA-DUR,Durban,IN-PUN,Pune DC (Chakan),Agricultural Products,HS-10,2,8988,Yang Ming,in_transit,0.004,0,multimodal,1.0
SHP-003771,2025-02-20,2025-03-18,2025-03-18,26,26,0,AE-DXB,Dubai (Jebel Ali),JP-YOK,Yokohama,Machinery,HS-84,3,13068,MSC,delivered,0.091,0,road,2.2
SHP-003772,2025-05-20,2025-06-30,2025-07-05,41,46,5,JP-YOK,Yokohama,US-LAX,Los Angeles,Plastics,HS-39,4,12472,Evergreen Marine,delayed,0.45,0,sea,0.7
SHP-003773,2025-04-02,2025-05-14,2025-05-14,42,42,0,IN-VIZ,Visakhapatnam Port,MY-PTG,Port Klang,Pharmaceuticals,HS-30,1,1166,Hapag-Lloyd,delivered,0.22,0,sea,0.9
SHP-003774,2026-02-02,2026-02-16,2026-02-16,14,14,0,IN-KOC,Kochi Port,IN-PUN,Pune DC (Chakan),Pharmaceuticals,HS-30,2,3024,Hapag-Lloyd,delivered,0.121,0,road,2.6
SHP-003775,2025-05-28,2025-06-07,2025-06-09,10,12,2,IN-GAU,Guwahati Warehouse,IN-AMD,Ahmedabad DC,Automobile Parts,HS-87,15,21150,COSCO Shipping,delivered,0.47,0,rail,2.3
SHP-003776,2025-08-27,2025-09-15,2025-09-16,19,20,1,IN-HAZ,Hazira Port,IN-GAU,Guwahati Warehouse,Petroleum Products,HS-27,10,32260,ZIM Integrated Shipping,delivered,0.472,0,road,2.9
SHP-003777,2025-11-22,2026-01-03,2026-01-04,42,43,1,LK-CMB,Colombo,MY-PTG,Port Klang,Steel & Iron,HS-72,2,2462,MSC,disrupted,0.222,0,rail,4.5
SHP-003778,2025-09-20,2025-10-11,2025-10-12,21,22,1,LK-CMB,Colombo,IN-JNPT,Nhava Sheva (JNPT),Machinery,HS-84,4,10180,Evergreen Marine,delayed,0.432,0,road,3.9
SHP-003779,2025-04-09,2025-04-27,2025-04-30,18,21,3,IN-KOL,Kolkata Port,KR-BUS,Busan,Food Products,HS-21,4,12600,ONE (Ocean Network Express),delivered,0.093,0,road,1.7
SHP-003780,2025-12-05,2026-01-18,2026-01-18,44,44,0,IN-JNPT,Nhava Sheva (JNPT),MY-PTG,Port Klang,Medical Devices,HS-90,2,3556,PIL (Pacific Int. Line),delivered,0.526,0,sea,3.2
SHP-003781,2025-05-01,2025-05-24,2025-05-24,23,23,0,DE-HAM,Hamburg,IN-DEL,Delhi ICD (Tughlakabad),Machinery,HS-84,5,8855,MSC,delivered,0.226,0,road,1.3
SHP-003782,2025-11-19,2025-12-04,2025-12-05,15,16,1,TH-LCH,Laem Chabang,IN-MUN,Mundra Port,Automobile Parts,HS-87,2,3442,COSCO Shipping,delivered,0.326,0,sea,3.3
SHP-003783,2025-07-22,2025-08-17,2025-08-17,26,26,0,US-NYC,New York/New Jersey,KR-BUS,Busan,Electronics,HS-85,4,6688,Hapag-Lloyd,delivered,0.225,0,sea,2.2
SHP-003784,2025-04-08,2025-05-17,2025-05-17,39,39,0,MY-PTG,Port Klang,IN-COK,Kochi Warehouse,Petroleum Products,HS-27,2,4022,ONE (Ocean Network Express),delivered,0.128,0,sea,3.6
SHP-003785,2025-03-05,2025-03-15,2025-03-17,10,12,2,IN-HAZ,Hazira Port,IN-CHN,Chennai Port,Machinery,HS-84,2,5606,Maersk Line,delivered,0.844,0,multimodal,4.0
SHP-003786,2026-02-01,2026-03-04,2026-03-09,31,36,5,IN-KOC,Kochi Port,IN-DEL,Delhi ICD (Tughlakabad),Machinery,HS-84,8,20480,Evergreen Marine,delivered,0.196,0,multimodal,1.9
SHP-003787,2025-02-03,2025-03-20,2025-03-20,45,45,0,CN-NGB,Ningbo,AE-DXB,Dubai (Jebel Ali),Machinery,HS-84,5,16415,CMA CGM,in_transit,0.234,0,rail,1.8
SHP-003788,2025-05-06,2025-06-10,2025-06-15,35,40,5,NL-RTM,Rotterdam,IN-AMD,Ahmedabad DC,Plastics,HS-39,3,12423,COSCO Shipping,delivered,0.19,0,rail,3.5
SHP-003789,2025-07-31,2025-08-12,2025-08-17,12,17,5,JP-YOK,Yokohama,US-NYC,New York/New Jersey,Food Products,HS-21,2,8480,Maersk Line,delivered,0.102,0,multimodal,0.8
SHP-003790,2025-09-17,2025-10-12,2025-10-12,25,25,0,IN-TUT,Tuticorin Port,IN-COK,Kochi Warehouse,Automobile Parts,HS-87,2,2004,ONE (Ocean Network Express),delivered,0.287,0,multimodal,4.7
SHP-003791,2025-07-17,2025-08-15,2025-08-15,29,29,0,IN-VIZ,Visakhapatnam Port,ZA-DUR,Durban,Pharmaceuticals,HS-30,2,5650,Hapag-Lloyd,delivered,0.358,0,sea,0.6
SHP-003792,2026-03-31,2026-04-14,2026-04-16,14,16,2,IN-CHN,Chennai Port,IN-KOL,Kolkata Port,Plastics,HS-39,8,26648,Evergreen Marine,delivered,0.311,0,rail,0.9
SHP-003793,2025-07-05,2025-07-22,2025-07-23,17,18,1,IN-COK,Kochi Warehouse,IN-HAZ,Hazira Port,Electronics,HS-85,2,4752,ONE (Ocean Network Express),delivered,0.209,0,sea,3.3
SHP-003794,2025-04-01,2025-04-05,2025-04-10,4,9,5,IN-MUN,Mundra Port,SG-SIN,Singapore,Chemical Products,HS-38,5,13200,MSC,delivered,0.498,0,road,3.5
SHP-003795,2025-08-30,2025-09-20,2025-09-20,21,21,0,JP-YOK,Yokohama,IN-AMD,Ahmedabad DC,Machinery,HS-84,1,2860,MSC,delivered,0.132,0,rail,0.9
SHP-003796,2026-01-15,2026-02-05,2026-02-17,21,33,12,NL-RTM,Rotterdam,IN-KOL,Kolkata Port,Plastics,HS-39,3,9321,Yang Ming,delayed,0.383,1,multimodal,2.9
SHP-003797,2026-01-19,2026-02-27,2026-02-28,39,40,1,US-NYC,New York/New Jersey,IN-GAU,Guwahati Warehouse,Plastics,HS-39,4,9488,MSC,delayed,0.547,0,road,0.9
SHP-003798,2025-08-27,2025-09-14,2025-09-19,18,23,5,DE-HAM,Hamburg,IN-JNPT,Nhava Sheva (JNPT),Food Products,HS-21,1,988,COSCO Shipping,delivered,0.189,0,road,4.3
SHP-003799,2025-01-31,2025-02-21,2025-02-23,21,23,2,JP-YOK,Yokohama,IN-KND,Kandla Port,Petroleum Products,HS-27,2,4104,COSCO Shipping,delayed,0.199,0,multimodal,1.7
SHP-003800,2025-03-04,2025-03-22,2025-03-22,18,18,0,IN-MUM,Mumbai Warehouse (Bhiwandi),TH-LCH,Laem Chabang,Food Products,HS-21,1,3985,Maersk Line,delivered,0.687,0,road,4.7
SHP-003801,2025-08-06,2025-09-13,2025-09-14,38,39,1,IN-HAZ,Hazira Port,SG-SIN,Singapore,Automobile Parts,HS-87,1,3491,Evergreen Marine,delivered,0.191,0,rail,1.3
SHP-003802,2025-08-19,2025-08-23,2025-08-23,4,4,0,NL-RTM,Rotterdam,US-NYC,New York/New Jersey,Steel & Iron,HS-72,2,6998,Yang Ming,delivered,0.36,0,sea,4.3
SHP-003803,2025-02-20,2025-03-13,2025-03-13,21,21,0,CN-SZX,Shenzhen,IN-KOL,Kolkata Port,Machinery,HS-84,10,25970,CMA CGM,delivered,0.297,0,sea,5.0
SHP-003804,2025-04-10,2025-04-13,2025-04-13,3,3,0,IN-HYD,Hyderabad DC,AE-DXB,Dubai (Jebel Ali),Plastics,HS-39,4,7496,ONE (Ocean Network Express),delayed,0.257,0,road,3.8
SHP-003805,2026-04-23,2026-05-18,2026-05-18,25,25,0,IN-HAZ,Hazira Port,IN-BLR,Bangalore Hub (Whitefield),Agricultural Products,HS-10,5,6970,MSC,in_transit,0.171,0,sea,2.7
SHP-003806,2026-04-12,2026-04-25,2026-04-30,13,18,5,IN-VIZ,Visakhapatnam Port,ZA-DUR,Durban,Petroleum Products,HS-27,5,6570,CMA CGM,delivered,0.329,0,road,0.9
SHP-003807,2025-12-05,2025-12-08,2025-12-11,3,6,3,US-NYC,New York/New Jersey,IN-KOC,Kochi Port,Machinery,HS-84,8,7312,Hapag-Lloyd,delivered,0.359,0,rail,0.6
SHP-003808,2025-02-24,2025-04-07,2025-04-08,42,43,1,IN-PUN,Pune DC (Chakan),IN-DEL,Delhi ICD (Tughlakabad),Medical Devices,HS-90,3,9057,PIL (Pacific Int. Line),in_transit,0.204,0,sea,3.0
SHP-003809,2026-04-18,2026-05-24,2026-05-25,36,37,1,IN-COK,Kochi Warehouse,IN-MUN,Mundra Port,Plastics,HS-39,2,3736,MSC,delivered,0.042,0,road,1.0
SHP-003810,2025-04-14,2025-05-22,2025-06-09,38,56,18,IN-MUM,Mumbai Warehouse (Bhiwandi),CN-SHA,Shanghai,Electronics,HS-85,1,2913,ONE (Ocean Network Express),delivered,0.557,1,road,4.7
SHP-003811,2025-07-24,2025-08-28,2025-08-31,35,38,3,IN-VIZ,Visakhapatnam Port,JP-YOK,Yokohama,Electronics,HS-85,2,2464,ZIM Integrated Shipping,delivered,0.304,0,multimodal,4.9
SHP-003812,2025-09-19,2025-09-25,2025-09-26,6,7,1,IN-COK,Kochi Warehouse,CN-SZX,Shenzhen,Chemical Products,HS-38,1,1833,ONE (Ocean Network Express),delivered,0.275,0,multimodal,3.1
SHP-003813,2025-04-09,2025-04-18,2025-04-30,9,21,12,US-NYC,New York/New Jersey,IN-MUN,Mundra Port,Pharmaceuticals,HS-30,5,9880,COSCO Shipping,disrupted,0.35,1,multimodal,3.1
SHP-003814,2025-04-23,2025-06-05,2025-06-07,43,45,2,DE-HAM,Hamburg,IN-PUN,Pune DC (Chakan),Textiles & Garments,HS-62,3,2958,ONE (Ocean Network Express),delivered,0.519,0,road,4.5
SHP-003815,2025-09-23,2025-10-24,2025-10-27,31,34,3,IN-KOL,Kolkata Port,CN-SHA,Shanghai,Automobile Parts,HS-87,3,4722,ZIM Integrated Shipping,delivered,0.238,0,sea,1.7
SHP-003816,2026-04-13,2026-05-13,2026-05-13,30,30,0,IN-DEL,Delhi ICD (Tughlakabad),CN-SHA,Shanghai,Medical Devices,HS-90,15,21240,PIL (Pacific Int. Line),delivered,0.426,0,sea,3.8
SHP-003817,2026-01-02,2026-02-02,2026-02-02,31,31,0,JP-YOK,Yokohama,CN-SZX,Shenzhen,Pharmaceuticals,HS-30,5,4820,CMA CGM,delivered,0.159,0,road,4.7
SHP-003818,2025-05-04,2025-06-05,2025-06-05,32,32,0,IN-COK,Kochi Warehouse,CN-NGB,Ningbo,Electronics,HS-85,3,5538,COSCO Shipping,delivered,0.68,0,rail,0.5
SHP-003819,2025-05-14,2025-06-19,2025-06-19,36,36,0,IN-DEL,Delhi ICD (Tughlakabad),IN-PAR,Paradip Port,Food Products,HS-21,10,10110,Yang Ming,delivered,0.462,0,multimodal,3.7
